hostname,operator,country,city_or_scope,type,counted,alias_of,access,nts_documented,nts_measured,nts_evidence,stratum_measured,ipv6_measured,reachable,nts_from,reachable_from,leap_policy,verification,status_note
ntp.relier.fr,Relier / Universite de Limoges,France,Limoges,server,yes,,public,no,no,refused — port 4460 fermé,2,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S2 2026-07-12
ntp-0-hq.rdem-systems.com,RDEM Systems,France,Pontoise,server,yes,,public,no,no,silent — port 4460 muet — peut être une ACL,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Observed active S1 2026-07-12
ntp-1.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-2.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-3.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-4.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-5.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-6.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-7.rdem-systems.com,RDEM Systems,Germany,Frankfurt,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-8.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,3,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-9.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-10.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-11.rdem-systems.com,RDEM Systems,France,Paris region,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp-12.rdem-systems.com,RDEM Systems,France,France,server,yes,,public,yes,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Observed active 2026-07-12
ntp.nic.cz,CZ.NIC,Czech Republic,Czech Republic,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,1,yes,yes,0/6,6/6,standard,measured-2026-07-31,Known operator endpoint; verify current access and location
time.ufe.cz,Institute of Photonics and Electronics CAS,Czech Republic,Prague,server,yes,,public,unknown,no,silent — port 4460 muet — peut être une ACL,,no,no,0/6,0/6,standard,measured-2026-07-31,Historical public NTP listing
ntp1.fau.de,FAU Erlangen-Nuremberg,Germany,Erlangen,server,yes,,public,no,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,1,no,yes,6/6,6/6,standard,measured-2026-07-31,Historical public endpoint | ÉCART : sert NTS sans le documenter (mesuré 2026-07-12)
ntp2.fau.de,FAU Erlangen-Nuremberg,Germany,Erlangen,server,yes,,public,no,no,refused — port 4460 fermé,1,no,yes,0/6,6/6,standard,measured-2026-07-31,Historical public endpoint
ntp1.hetzner.de,Hetzner Online,Germany,Germany,server,yes,,public,no,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Known provider endpoint | ÉCART : sert NTS sans le documenter (mesuré 2026-07-12)
ntp2.hetzner.de,Hetzner Online,Germany,Germany,server,yes,,public,no,yes,yes — NTS utilisable : ALPN ntske/1 + certificat valide pour ce nom,2,yes,yes,6/6,6/6,standard,measured-2026-07-31,Known provider endpoint | ÉCART : sert NTS sans le documenter (mesuré 2026-07-12)
